lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,6.587580680847168,0.24275022745132446,0.9866364598274231,0.0,0.0,0.7459394931793213,0.049662381410598755,0
2e-05,99,,,,,,,,
,99,3.9722163677215576,0.1278461515903473,0.9391898512840271,0.0,0.0,0.47610345482826233,0.04184243455529213,0
3e-05,149,,,,,,,,
,149,8.72247314453125,0.36216431856155396,0.9943689703941345,0.0,0.0,0.4848184585571289,0.04617149382829666,0
4e-05,199,,,,,,,,
,199,1.6769300699234009,0.023375779390335083,0.7838621139526367,0.0,0.0,0.4255523681640625,0.04702308773994446,0
5e-05,249,,,,,,,,
,249,2.638455390930176,0.08235253393650055,0.8916620016098022,0.0,0.0,0.09974278509616852,0.040116261690855026,0
