lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch,val_precision,val_recall,val_f1,val_acc,average_loss
1e-05,49,,,,,,,,,,,,,
,49,9.940238952636719,0.4329741895198822,0.9773961901664734,0.0,0.0,0.3033592700958252,0.03097499907016754,0,,,,,
2e-05,99,,,,,,,,,,,,,
,99,1.486264944076538,0.010495024733245373,0.9533321261405945,0.0,0.0,0.3230323791503906,0.030479611828923225,0,,,,,
3e-05,149,,,,,,,,,,,,,
,149,1.697965145111084,0.02501838281750679,0.8872049450874329,0.0,0.0,0.3103926181793213,0.030068542808294296,0,,,,,
4e-05,199,,,,,,,,,,,,,
,199,3.5398917198181152,0.12469074875116348,0.8888767957687378,0.0,0.0,0.15719985961914062,0.031373411417007446,0,,,,,
5e-05,249,,,,,,,,,,,,,
,249,2.8107237815856934,0.08170858770608902,0.9989853501319885,0.0,0.0,0.1775667667388916,0.030500732362270355,0,,,,,
5e-05,299,,,,,,,,,,,,,
,299,1.4797019958496094,0.0215024221688509,0.9070072174072266,0.0,0.0,0.14264637231826782,0.029103891924023628,0,,,,,
5e-05,349,,,,,,,,,,,,,
,349,1.7490627765655518,0.03259158879518509,0.9371138215065002,0.0,0.0,0.16011720895767212,0.0271261315792799,0,,,,,
5e-05,399,,,,,,,,,,,,,
,399,1.9392812252044678,0.05349632725119591,0.8139643669128418,0.0,0.0,0.055390357971191406,0.024042116478085518,0,,,,,
5e-05,449,,,,,,,,,,,,,
,449,1.58005690574646,0.04517556354403496,0.6435147523880005,0.0,0.0,0.03303084522485733,0.02236112765967846,0,,,,,
5e-05,499,,,,,,,,,,,,,
,499,1.3241932392120361,0.015900617465376854,0.9757447242736816,0.0,0.0,0.030436178669333458,0.021004347130656242,0,,,,,
,499,,,,,,,,0,0.0,0.0,0.0,0.88043212890625,1.7137647867202759
5e-05,549,,,,,,,,,,,,,
,549,2.318636417388916,0.08265936374664307,0.6320109367370605,0.0,0.0,0.033438265323638916,0.017888469621539116,0,,,,,
5e-05,599,,,,,,,,,,,,,
,599,1.3471992015838623,0.021853741258382797,0.8877997994422913,0.0,0.0,0.022324562072753906,0.015862084925174713,0,,,,,
5e-05,649,,,,,,,,,,,,,
,649,1.1424379348754883,0.006516498047858477,0.9924696087837219,0.0,0.0,0.0196382999420166,0.013012346811592579,0,,,,,
5e-05,699,,,,,,,,,,,,,
,699,1.2864978313446045,0.02874259650707245,0.661415696144104,0.0,0.0,0.05023026466369629,0.007929316721856594,0,,,,,
5e-05,749,,,,,,,,,,,,,
,749,1.1091054677963257,0.004889625124633312,0.9944751262664795,0.0,0.0,0.016837850213050842,0.005813211668282747,0,,,,,
